exp	commit	val_f1	f1_bin	f1_cat	val_f1_zs	f1_zs	f1_cat_zs	f1_posts	f1_comments	time	status	description
exp55	d77eb50 (2)	0.6244	0.6727	0.5248	0.5752	0.6477	0.4362	0.6865	0.5580	361.3	discard	diverse temp 1.0 -> 0.9 (mean 0.625 across 2) — 1.0 better
exp56	2b2d1e4 (1)	0.5789	0.6570	0.4309	0.5835	0.6550	0.4455	0.6305	0.5207	205.3	discard	early-converge on unanimous vote — faster but hurts accuracy
exp57	e20f8cb (1)	0.4866	0.6641	0.2356	0.4950	0.6271	0.2849	0.4914	0.4795	577.9	discard	ask for reasoning first — 578s (too slow) + cat crashed
exp58	1e91d4d (1)	0.5956	0.6535	0.4797	0.5803	0.6521	0.4420	0.6565	0.5329	347.7	discard	two-questions first probe — hurt
exp59	2acbee7 (1)	0.5712	0.6289	0.4563	0.5803	0.6521	0.4420	0.6027	0.5384	396.1	discard	finalize prompt ensemble (2 phrasings) — hurt
exp60	fe49dea (1)	0.5907	0.6068	0.5546	0.5768	0.6462	0.4426	0.6826	0.4870	239.3	discard	early-converge only on unanimous organic — locks in wrong organic verdicts
exp61	3cd25bc (1)	0.6042	0.6417	0.5250	0.5803	0.6521	0.4420	0.6948	0.5052	200.2	discard	max_iterations 2 -> 1 — less probing hurts
exp62	4f4b1a2 (3)	0.6366	0.6768	0.5524	0.5725	0.6452	0.4331	0.6948	0.5749	359.1	-	uniform temp=0.7 (3-run mean 0.637)
exp63	8ff3c17 (1)	0.6230	0.6978	0.4782	0.5803	0.6521	0.4420	0.6665	0.5806	356.7	keep	final cleanup: uniform temp=0.7 voting (simpler, same perf as mixed-temp)
exp64	cda25dc (3)	0.6464	0.6707	0.5936	0.5737	0.6437	0.4387	0.7137	0.5709	400.8	keep	reverse probe order (most recent first) — cat up, 3-run mean 0.6464 vs 0.637 baseline
exp65	c4c24ae (3)	0.6605	0.7254	0.5326	0.5782	0.6472	0.4445	0.7108	0.6054	423.3	keep	put content AFTER probes (3-run mean 0.6605) — big win! binary hits 0.73 record
exp66	04e819e (3)	0.6682	0.7170	0.5669	0.5747	0.6462	0.4372	0.7084	0.6224	437.3	keep	reorder critique (content last) too — 3-run mean 0.6682, binary 0.74 record
exp67	fd1d39f (1)	0.5896	0.6615	0.4507	0.5791	0.6454	0.4496	0.6310	0.5421	415.3	discard	bookend task instruction — bookending hurts
exp68	f1a466e (2)	0.6452	0.7156	0.5068	0.5703	0.6462	0.4262	0.6795	0.6085	489.8	discard	finalize 11 -> 15 (mean 0.645 across 2) — 11 is optimal
exp69	d1796d5 (3)	0.6653	0.7323	0.5320	0.5750	0.6447	0.4402	0.7013	0.6252	442.1	keep	reorder probe prompt (content last) — 3-run mean 0.6653, very consistent
exp70	c36a287 (2)	0.6603	0.7205	0.5401	0.4824	0.5455	0.3622	0.6988	0.6185	461.4	discard	instruction-before-content in init (mean 0.660) — val_f1_zs crashed to 0.48
exp71	3f12404 (2)	0.6483	0.7249	0.5006	0.5545	0.6454	0.3910	0.6590	0.6350	449.9	discard	probe temp 0.7 -> 0.3 (mean 0.648) — 0.7 still better
exp72	a3d9bc3 (2)	0.6386	0.7055	0.5063	0.5260	0.6521	0.3198	0.6699	0.6077	473.0	discard	skeptical framing on all prompts (mean 0.639) — cat_zs crashed
exp73	5d3a4bf (3)	0.6545	0.7187	0.5273	0.5113	0.6521	0.2899	0.6856	0.6184	482.4	discard	init samples 5 -> 7 (mean 0.654) — no clear help
exp74	24c1932 (3)	0.6474	0.7188	0.5071	0.5789	0.6257	0.4830	0.6847	0.6064	445.1	discard	simpler init instruction (mean 0.647 across 3) — cat_zs up but val_f1 down
exp75	78e4468 (1)	0.6090	0.7194	0.4128	0.5809	0.6521	0.4435	0.6314	0.6284	483.6	discard	critique shows t0 -> t trajectory — cat tanked to 0.41
exp76	bf2f5bd (1)	0.6241	0.6872	0.4986	0.5777	0.6476	0.4426	0.6276	0.6202	486.1	discard	include critique as observation in probe conv — hurt
exp77	7f88951 (3)	0.6655	0.7247	0.5462	0.5779	0.6491	0.4406	0.7143	0.6166	429.5	keep	cleaner instruction (3-run mean 0.6655, simpler wording)
exp78	4f54dd5 (1)	0.6036	0.6707	0.4721	0.5343	0.5902	0.4237	0.6243	0.5751	425.1	discard	'don't default to organic' — over-aggressive, val_f1_zs crashed
exp79	dc37f9f (1)	0.6439	0.6973	0.5346	0.5591	0.6071	0.4614	0.6703	0.6070	423.3	discard	INTENTS in system prompt (not user) — slightly worse
exp80	cec2086 (3)	0.6835	0.7466	0.5565	0.5776	0.6462	0.4446	0.7205	0.6435	434.8	keep	Q/A format (3-run mean 0.6835 NEW BEST), binary 0.774 record
exp81	4dbc1a5 (2)	0.6771	0.7399	0.5506	0.5785	0.6513	0.4386	0.7246	0.6245	485.6	discard	minimal probe format (> Q / bare A) (mean 0.677) — Q/A better
exp82	1ad00d4 (3)	0.6761	0.7391	0.5493	0.5756	0.6482	0.4362	0.7256	0.6235	494.5	discard	Question/Answer labels (3-run mean 0.6761) — Q/A slightly better
exp83	94531b5 (4)	0.6698	0.7315	0.5454	0.5726	0.6455	0.4332	0.7131	0.6234	482.8	discard	Probe/Reply labels (3-run mean 0.6702) — Q/A still best
exp84	5ce308d (3)	0.6828	0.7455	0.5565	0.5722	0.6442	0.4339	0.7372	0.6219	453.3	discard	'Briefly' instead of 'one sentence' critique (3-run mean 0.6828) — tied with baseline
exp85	3808835 (3)	0.6852	0.7312	0.5888	0.5744	0.6466	0.4358	0.7344	0.6331	478.9	keep	probe sees prev exchange (3-run mean 0.6852) — very consistent
exp86	7152487 (2)	0.6606	0.7344	0.5161	0.5782	0.6477	0.4437	0.6926	0.6270	453.8	discard	finalize blends content-only + content+probe (mean 0.661)
exp87	4efbb59 (3)	0.6767	0.7395	0.5507	0.5756	0.6481	0.4365	0.7096	0.6441	473.4	discard	critique temp 0.2 -> 0.7 (3-run mean 0.6767) — 0.2 better
exp88	17d23ed (2)	0.6725	0.7404	0.5376	0.5765	0.6484	0.4382	0.7121	0.6294	499.4	discard	finalize 11 -> 13 (mean 0.673) — 11 still best
exp89	f3dee87 (2)	0.6619	0.7250	0.5352	0.5748	0.6470	0.4362	0.7147	0.6082	492.3	discard	bulleted intent list (mean 0.662) — original format better
exp90	7e97cc9 (1)	0.6394	0.7222	0.4813	0.5812	0.6535	0.4420	0.6854	0.5926	450.6	discard	content at end after instruction — too much, hurt
exp91	89bf611 (1)	0.6203	0.7365	0.4155	0.5785	0.6492	0.4420	0.6595	0.6204	481.9	discard	finalize 11 -> 9 — cat crashed, 11 is correct
exp92	d21ab07 (2)	0.6528	0.7136	0.5309	0.5801	0.6492	0.4463	0.6833	0.6204	460.6	discard	chronological probe order (mean 0.653) — reverse better
exp93	51e9add (2)	0.6588	0.7194	0.5364	0.5716	0.6403	0.4386	0.7023	0.6180	466.1	discard	post/comment labeling (mean 0.659) — bare Content better
exp94	ed17057 (3)	0.6747	0.7282	0.5649	0.5741	0.6472	0.4340	0.7222	0.6254	478.0	discard	refine samples 5 -> 7 (3-run mean 0.6747) — 5 best
exp95	7d1b8a2 (2)	0.6577	0.7319	0.5136	0.5760	0.6484	0.4370	0.6902	0.6226	504.8	discard	community before content (mean 0.658) — community at top better
exp96	e0e3264 (2)	0.6536	0.7207	0.5204	0.5734	0.6477	0.4315	0.6758	0.6268	494.9	discard	softer probe framing (mean 0.654) — 'direct' language better
exp97	fdc6813 (3)	0.6830	0.7379	0.5736	0.5782	0.6506	0.4390	0.7315	0.6301	533.4	discard	critique role 'expert analyst' (3-run mean 0.683) — tied with baseline
exp98	bd15cd6 (2)	0.6526	0.7264	0.5083	0.5782	0.6499	0.4401	0.6840	0.6199	494.4	discard	stricter _is_organic startswith (mean 0.653)
exp99	1edb498 (3)	0.6681	0.7279	0.5471	0.5774	0.6481	0.4411	0.7112	0.6227	474.2	discard	adaptive +4 samples on tight vote (3-run mean 0.668)
exp100	6fef4f8 (3)	0.6756	0.7375	0.5509	0.5750	0.6491	0.4334	0.7161	0.6310	478.4	discard	critique sees t0 'initial impression' (3-run mean 0.676)
exp101	4cf83fb (3)	0.6554	0.7197	0.5271	0.5773	0.6501	0.4377	0.6988	0.6106	419.7	discard	drop finalize (3-run mean 0.655) — finalize is crucial
exp102	4cb6a4a (4)	0.6948	0.7366	0.6076	0.5760	0.6484	0.4370	0.7468	0.6386	416.4	keep	drop critique step (4-run mean 0.6948 NEW BEST) — simpler + better!
exp103	27f6221 (1)	0.7100	0.7466	0.6316	0.5764	0.6477	0.4390	0.7809	0.6302	391.6	keep	cleanup after exp100 — 0.710 verify run
exp104	3914c63 (1)	0.6973	0.7309	0.6249	0.5769	0.6491	0.4382	0.7619	0.6293	709.7	discard	max_iterations 2 -> 3 after dropping critique — OVER TIME BUDGET (710s)
exp105	7a3355b (3)	0.6942	0.7252	0.6270	0.5805	0.6521	0.4425	0.7627	0.6209	424.9	discard	finalize 11 -> 13 (3-run mean 0.694) — tied, prefer simpler
exp106	5e1570e (2)	0.6678	0.7216	0.5579	0.5769	0.6492	0.4381	0.7121	0.6223	385.0	discard	unified probe gen (2-run mean 0.668) — different first-probe helps
exp107	d3fbd4c (3)	0.6708	0.7219	0.5658	0.5758	0.6496	0.4347	0.7218	0.6216	389.9	discard	skeptical PROBE_PROMPT after critique drop (3-run mean 0.671)
exp108	67e4988 (2)	0.6698	0.7288	0.5501	0.5696	0.6419	0.4311	0.7037	0.6340	426.0	discard	drop 'Previous exchange:' label (2-run mean 0.670)
exp109	8b875bc (3)	0.6804	0.7238	0.5897	0.5732	0.6457	0.4343	0.7364	0.6215	464.8	discard	init 5 -> 11 (3-run mean 0.680)
exp110	c1f5125 (2)	0.6439	0.7205	0.4952	0.5711	0.6426	0.4337	0.6900	0.5964	438.5	discard	probe 'tests genuine knowledge' (2-run mean 0.644)
exp111	2d89357 (3)	0.6666	0.7282	0.5425	0.5739	0.6487	0.4313	0.7056	0.6255	436.0	discard	'Dialogue:' label (3-run mean 0.667)
exp112	e7161b5 (2)	0.6564	0.7193	0.5302	0.5767	0.6499	0.4364	0.7046	0.6048	365.4	discard	revert recency (mean 0.657) — recency confirmed important
exp113	6b87d19 (3)	0.6904	0.7345	0.5978	0.5726	0.6447	0.4344	0.7400	0.6340	399.1	discard	Q (moderator)/A (poster) labels (3-run mean 0.690) — tied, simpler wins
exp114	91502f3 (3)	0.6967	0.7249	0.6352	0.5728	0.6432	0.4371	0.7707	0.6172	429.2	keep	default-benign unless known malicious (3-run mean 0.6967, new best)
exp115	50c3003 (3)	0.6721	0.7229	0.5680	0.5774	0.6501	0.4377	0.7227	0.6217	432.9	discard	cleanup refactor (3-run mean 0.672) — subtle logic diff, keep exp111
exp116	6df676d (2)	0.6690	0.7323	0.5418	0.5766	0.6513	0.4341	0.7109	0.6259	395.8	discard	unify init label (2-run mean 0.669) — asymmetry helps!
exp117	9be4c0c (3)	0.6970	0.7265	0.6332	0.5774	0.6471	0.4426	0.7563	0.6365	443.5	keep	probe gen chronological (3-run mean 0.6970, marginal best)
exp118	d2ca944 (3)	0.6721	0.7220	0.5691	0.5733	0.6457	0.4343	0.7182	0.6229	413.7	discard	temp 0.7 -> 0.5 (3-run mean 0.672) — 0.7 still best
exp119	181569f (3)	0.6946	0.7332	0.6124	0.5769	0.6289	0.4716	0.7669	0.6202	390.6	keep	simpler init instruction (3-run mean 0.6946, tied)
exp120	214bb07 (3)	0.6892	0.7295	0.6043	0.5771	0.6284	0.4732	0.7344	0.6401	414.8	discard	'poster' instead of 'bot' (3-run mean 0.689)
exp121	2208529 (3)	0.6901	0.7375	0.5913	0.5752	0.6255	0.4730	0.7443	0.6361	498.7	discard	finalize 15 on exp116 (3-run mean 0.690) — 11 still better
exp122	3981360 (3)	0.6805	0.7279	0.5819	0.5766	0.6261	0.4759	0.7414	0.6211	457.2	discard	probe temp 0.7 -> 1.0 (3-run mean 0.681)
exp123	e829e3b (3)	0.6758	0.7078	0.6079	0.5662	0.6083	0.4789	0.7372	0.6088	413.6	discard	drop 'vigilant/skeptical' (3-run mean 0.676) — skeptical helps
